"","school","conf","season"
"37","bethune-cookman","MEAC","2016-17"
"38","bethune-cookman","MEAC","2015-16"
"39","boise-state","MWC","2016-17"
"40","boise-state","MWC","2015-16"
"41","boston-college","ACC","2016-17"
"42","boston-college","ACC","2015-16"
"43","boston-university","Patriot","2016-17"
"44","boston-university","Patriot","2015-16"
"45","bowling-green-state","MAC","2016-17"
"46","bowling-green-state","MAC","2015-16"
"47","bradley","MVC","2016-17"
"48","bradley","MVC","2015-16"
"49","brigham-young","WCC","2016-17"
"50","brigham-young","WCC","2015-16"
"51","brown","Ivy","2016-17"
"52","brown","Ivy","2015-16"
"53","bucknell","Patriot","2016-17"
"54","bucknell","Patriot","2015-16"
"55","buffalo","MAC","2016-17"
"56","buffalo","MAC","2015-16"
"57","butler","Big East","2016-17"
"58","butler","Big East","2015-16"
"59","cal-poly","Big West","2016-17"
"60","cal-poly","Big West","2015-16"
"61","cal-state-fullerton","Big West","2016-17"
"62","cal-state-fullerton","Big West","2015-16"
"63","cal-state-northridge","Big West","2016-17"
"64","cal-state-northridge","Big West","2015-16"
"65","campbell","Big South","2016-17"
"66","campbell","Big South","2015-16"
"67","canisius","MAAC","2016-17"
"68","canisius","MAAC","2015-16"
"69","central-connecticut-state","NEC","2016-17"
"70","central-connecticut-state","NEC","2015-16"
"71","central-florida","AAC","2016-17"
"72","central-florida","AAC","2015-16"
"73","central-michigan","MAC","2016-17"
"74","central-michigan","MAC","2015-16"
"75","charleston-southern","Big South","2016-17"
"76","charleston-southern","Big South","2015-16"
"77","charlotte","CUSA","2016-17"
"78","charlotte","CUSA","2015-16"
"79","chattanooga","Southern","2016-17"
"80","chattanooga","Southern","2015-16"
"81","chicago-state","WAC","2016-17"
"82","chicago-state","WAC","2015-16"
"83","cincinnati","AAC","2016-17"
"84","cincinnati","AAC","2015-16"
"85","citadel","Southern","2016-17"
"86","citadel","Southern","2015-16"
"87","clemson","ACC","2016-17"
"88","clemson","ACC","2015-16"
"89","cleveland-state","Horizon","2016-17"
"90","cleveland-state","Horizon","2015-16"
"91","coastal-carolina","Sun Belt","2016-17"
"92","coastal-carolina","Big South","2015-16"
"93","colgate","Patriot","2016-17"
"94","colgate","Patriot","2015-16"
"95","college-of-charleston","CAA","2016-17"
"96","college-of-charleston","CAA","2015-16"
"97","colorado","Pac-12","2016-17"
"98","colorado","Pac-12","2015-16"
"99","colorado-state","MWC","2016-17"
"100","colorado-state","MWC","2015-16"
"101","columbia","Ivy","2016-17"
"102","columbia","Ivy","2015-16"
"103","connecticut","AAC","2016-17"
"104","connecticut","AAC","2015-16"
"105","coppin-state","MEAC","2016-17"
"106","coppin-state","MEAC","2015-16"
"107","cornell","Ivy","2016-17"
"108","cornell","Ivy","2015-16"
"109","creighton","Big East","2016-17"
"110","creighton","Big East","2015-16"
"111","dartmouth","Ivy","2016-17"
"112","dartmouth","Ivy","2015-16"
"113","davidson","A-10","2016-17"
"114","davidson","A-10","2015-16"
"115","dayton","A-10","2016-17"
"116","dayton","A-10","2015-16"
"117","delaware","CAA","2016-17"
"118","delaware","CAA","2015-16"
"119","delaware-state","MEAC","2016-17"
"120","delaware-state","MEAC","2015-16"
"121","denver","Summit","2016-17"
"122","denver","Summit","2015-16"
"123","depaul","Big East","2016-17"
"124","depaul","Big East","2015-16"
"125","detroit-mercy","Horizon","2016-17"
"126","detroit-mercy","Horizon","2015-16"
"127","drake","MVC","2016-17"
"128","drake","MVC","2015-16"
"129","drexel","CAA","2016-17"
"130","drexel","CAA","2015-16"
"131","duke","ACC","2016-17"
"132","duke","ACC","2015-16"
"133","duquesne","A-10","2016-17"
"134","duquesne","A-10","2015-16"
"135","east-carolina","AAC","2016-17"
"136","east-carolina","AAC","2015-16"
"137","east-tennessee-state","Southern","2016-17"
"138","east-tennessee-state","Southern","2015-16"
"139","eastern-illinois","OVC","2016-17"
"140","eastern-illinois","OVC","2015-16"
"141","eastern-kentucky","OVC","2016-17"
"142","eastern-kentucky","OVC","2015-16"
"143","eastern-michigan","MAC","2016-17"
"144","eastern-michigan","MAC","2015-16"
"145","eastern-washington","Big Sky","2016-17"
"146","eastern-washington","Big Sky","2015-16"
"147","evansville","MVC","2016-17"
"148","evansville","MVC","2015-16"
"149","fairfield","MAAC","2016-17"
"150","fairfield","MAAC","2015-16"
"151","fairleigh-dickinson","NEC","2016-17"
"152","fairleigh-dickinson","NEC","2015-16"
"153","florida-am","MEAC","2016-17"
"154","florida-am","MEAC","2015-16"
"155","florida-atlantic","CUSA","2016-17"
"156","florida-atlantic","CUSA","2015-16"
"157","florida","SEC","2016-17"
"158","florida","SEC","2015-16"
"159","florida-international","CUSA","2016-17"
"160","florida-international","CUSA","2015-16"
"161","florida-state","ACC","2016-17"
"162","florida-state","ACC","2015-16"
"163","fordham","A-10","2016-17"
"164","fordham","A-10","2015-16"
"165","fresno-state","MWC","2016-17"
"166","fresno-state","MWC","2015-16"
"167","furman","Southern","2016-17"
"168","furman","Southern","2015-16"
"169","george-mason","A-10","2016-17"
"170","george-mason","A-10","2015-16"
"171","george-washington","A-10","2016-17"
"172","george-washington","A-10","2015-16"
"173","georgetown","Big East","2016-17"
"174","georgetown","Big East","2015-16"
"175","georgia","SEC","2016-17"
"176","georgia","SEC","2015-16"
"177","georgia-southern","Sun Belt","2016-17"
"178","georgia-southern","Sun Belt","2015-16"
"179","georgia-state","Sun Belt","2016-17"
"180","georgia-state","Sun Belt","2015-16"
"181","georgia-tech","ACC","2016-17"
"182","georgia-tech","ACC","2015-16"
"183","gonzaga","WCC","2016-17"
"184","gonzaga","WCC","2015-16"
"185","grambling","SWAC","2016-17"
"186","grambling","SWAC","2015-16"
"187","green-bay","Horizon","2016-17"
"188","green-bay","Horizon","2015-16"
"189","hampton","MEAC","2016-17"
"190","hampton","MEAC","2015-16"
"191","hartford","AEC","2016-17"
"192","hartford","AEC","2015-16"
"193","harvard","Ivy","2016-17"
"194","harvard","Ivy","2015-16"
"195","hawaii","Big West","2016-17"
"196","hawaii","Big West","2015-16"
"197","hofstra","CAA","2016-17"
"198","hofstra","CAA","2015-16"
"199","holy-cross","Patriot","2016-17"
"200","holy-cross","Patriot","2015-16"
"201","houston-baptist","Southland","2016-17"
"202","houston-baptist","Southland","2015-16"
"203","houston","AAC","2016-17"
"204","houston","AAC","2015-16"
"205","howard","MEAC","2016-17"
"206","howard","MEAC","2015-16"
"207","idaho-state","Big Sky","2016-17"
"208","idaho-state","Big Sky","2015-16"
"209","idaho","Big Sky","2016-17"
"210","idaho","Big Sky","2015-16"
"211","illinois","Big Ten","2016-17"
"212","illinois","Big Ten","2015-16"
"213","illinois-state","MVC","2016-17"
"214","illinois-state","MVC","2015-16"
"215","illinois-chicago","Horizon","2016-17"
"216","illinois-chicago","Horizon","2015-16"
"217","indiana","Big Ten","2016-17"
"218","indiana","Big Ten","2015-16"
"219","indiana-state","MVC","2016-17"
"220","indiana-state","MVC","2015-16"
"221","iona","MAAC","2016-17"
"222","iona","MAAC","2015-16"
"223","iowa","Big Ten","2016-17"
"224","iowa","Big Ten","2015-16"
"225","iowa-state","Big 12","2016-17"
"226","iowa-state","Big 12","2015-16"
"227","jackson-state","SWAC","2016-17"
"228","jackson-state","SWAC","2015-16"
"229","jacksonville","A-Sun","2016-17"
"230","jacksonville","A-Sun","2015-16"
"231","jacksonville-state","OVC","2016-17"
"232","jacksonville-state","OVC","2015-16"
"233","james-madison","CAA","2016-17"
"234","james-madison","CAA","2015-16"
"235","kansas","Big 12","2016-17"
"236","kansas","Big 12","2015-16"
"237","kansas-state","Big 12","2016-17"
"238","kansas-state","Big 12","2015-16"
"239","kent-state","MAC","2016-17"
"240","kent-state","MAC","2015-16"
"241","kentucky","SEC","2016-17"
"242","kentucky","SEC","2015-16"
"243","la-salle","A-10","2016-17"
"244","la-salle","A-10","2015-16"
"245","lafayette","Patriot","2016-17"
"246","lafayette","Patriot","2015-16"
"247","lamar","Southland","2016-17"
"248","lamar","Southland","2015-16"
